Date,Apple_Market_Share
2010-04,33.15
2010-05,33.093309330933096
2010-06,30.71307130713072
2010-07,30.093009300930095
2010-08,29.820000000000007
2010-09,26.725345069013795
2010-10,26.502650265026496
2010-11,25.722572257225718
2010-12,28.039999999999992
2011-01,30.203020302030197
2011-02,29.830000000000002
2011-03,29.757024297570243
2011-04,28.6028602860286
2011-05,27.63
2011-06,25.107489251074888
2011-07,25.214957008598276
2011-08,24.65
2011-09,27.062706270627064
2011-10,28.782878287828783
2011-11,29.067093290670933
2011-12,27.05729427057294
2012-01,28.67
2012-02,30.579999999999995
2012-03,24.869999999999997
2012-04,21.474294858971795
2012-05,22.044408881776352
2012-06,24.557544245575436
2012-07,25.430000000000007
2012-08,24.490000000000002
2012-09,23.64472894578916
2012-10,23.73237323732374
2012-11,23.81
2012-12,23.260695721711315
2013-01,25.857414258574146
2013-02,27.217278272172784
2013-03,27.16271627162716
2013-04,26.47735226477352
2013-05,25.872587258725872
2013-06,25.09752925877763
2013-07,24.74
2013-08,23.39467893578716
2013-09,22.680000000000003
2013-10,20.5020502050205
2013-11,21.908763505402156
2013-12,21.789999999999996
2014-01,23.51529694061188
2014-02,22.939999999999998
2014-03,23.57235723572357
2014-04,23.21464292858572
2014-05,23.20303908827351
2014-06,24.24757524247575
2014-07,24.865026994601077
2014-08,23.54293711886434
2014-09,24.717528247175277
2014-10,25.954809038192373
2014-11,23.022302230223023
2014-12,23.517055116534962
2015-01,22.747725227477257
2015-02,23.176953085925785
2015-03,22.635472905418933
2015-04,20.784156831366282
2015-05,20.222022202220217
2015-06,20.213935819254228
2015-07,20.40591881623676
2015-08,19.02809719028097
2015-09,18.14907453726864
2015-10,17.698230176982296
2015-11,19.299999999999994
2015-12,19.208079192080792
2016-01,19.572171131547382
2016-02,19.468053194680532
2016-03,18.821882188218815
2016-04,18.799999999999994
2016-05,18.633726745349065
2016-06,20.332033203320325
2016-07,19.88801119888012
2016-08,20.06598680263946
2016-09,19.37806219378062
2016-10,19.118088191180885
2016-11,18.851885188518853
2016-12,18.893778755751146
2017-01,19.73197319731974
2017-02,19.450000000000003
2017-03,19.50000000000001
2017-04,19.869999999999994
2017-05,19.321932193219325
2017-06,19.35580674202261
2017-07,18.77624475104978
2017-08,20.32203220322031
2017-09,19.373874774954988
2017-10,20.004002801961363
2017-11,20.348139255702286
2017-12,19.909999999999986
2018-01,19.632147141143534
2018-02,20.162097258354997
2018-03,20.830000000000002
2018-04,19.235770731219365
2018-05,18.973794758951787
2018-06,18.91567470241073
2018-07,19.39418174547635
2018-08,20.45613684105232
2018-09,20.65380385884235
2018-10,22.333300009996996
2018-11,24.435112977404522
2018-12,21.984396879375875
2019-01,22.849999999999998
2019-02,23.275344931013798
2019-03,22.402240224022407
2019-04,22.75544891021796
2019-05,22.660000000000007
2019-06,22.04440888177637
2019-07,22.016604981494442
2019-08,22.17887154861944
2019-09,22.4912456228114
2019-10,22.08558288342331
2019-11,22.900000000000002
2019-12,24.787521247875198
2020-01,24.76495299059811
2020-02,25.89258925892588
2020-03,27.03270327032703
2020-04,28.795759151830367
2020-05,26.71198640407877
2020-06,25.262526252625257
2020-07,24.817518248175173
2020-08,25.15251525152515
2020-09,24.987496248874663
2020-10,26.537961388416516
2020-11,28.187181281871794
2020-12,26.915383076615324
2021-01,27.480992396958786
2021-02,27.329999999999995
2021-03,27.415483096619308
2021-04,27.002700270026992
2021-05,26.46529305861171
2021-06,26.349999999999994
2021-07,26.93346673336668
2021-08,26.4252850570114
2021-09,26.76873811668167
2021-10,28.21282128212821
2021-11,28.537146285371456
2021-12,29.237076292370762
2022-01,29.498849654896457
2022-02,28.298489546864054
2022-03,27.572757275727568
2022-04,27.691076430572224
2022-05,27.843921960980474
2022-06,27.230892356942764
2022-07,27.508252475742722
2022-08,27.838351505451637
2022-09,27.800000000000004
2022-10,28.427056233740238
2022-11,27.477252274772518
2022-12,26.985397079415886
2023-01,27.60552110422084
2023-02,27.11355677838918
2023-03,28.42852855856755
2023-04,30.6191857557267
2023-05,31.45258103241295
2023-06,28.45422711355676
2023-07,28.389999999999986
2023-08,28.53570714142828
2023-09,29.58295829582957
2023-10,29.66186474589835
2023-11,29.125825165032992
2023-12,28.80288028802879
2024-01,29.27292729272925
