Date,FEDFUNDS
2010-01-01,0.133
2010-04-01,0.193
2010-07-01,0.187
2010-10-01,0.187
2011-01-01,0.157
2011-04-01,0.093
2011-07-01,0.083
2011-10-01,0.073
2012-01-01,0.103
2012-04-01,0.153
2012-07-01,0.143
2012-10-01,0.16
2013-01-01,0.143
2013-04-01,0.117
2013-07-01,0.083
2013-10-01,0.087
2014-01-01,0.073
2014-04-01,0.093
2014-07-01,0.09
2014-10-01,0.1
2015-01-01,0.11
2015-04-01,0.123
2015-07-01,0.137
2015-10-01,0.16
2016-01-01,0.36
2016-04-01,0.373
2016-07-01,0.397
2016-10-01,0.45
2017-01-01,0.7
2017-04-01,0.95
2017-07-01,1.153
2017-10-01,1.203
2018-01-01,1.447
2018-04-01,1.737
2018-07-01,1.923
2018-10-01,2.22
2019-01-01,2.403
2019-04-01,2.397
2019-07-01,2.19
2019-10-01,1.643
2020-01-01,1.26
2020-04-01,0.06
2020-07-01,0.093
2020-10-01,0.09
2021-01-01,0.08
2021-04-01,0.07
2021-07-01,0.09
2021-10-01,0.08
2022-01-01,0.12
2022-04-01,0.77
2022-07-01,2.19
2022-10-01,3.653
2023-01-01,4.517
2023-04-01,4.99
2023-07-01,5.26
2023-10-01,5.33
2024-01-01,5.33
2024-04-01,5.33
2024-07-01,5.263
2024-10-01,4.735
